7	 11	 6.200166 
5	 12	 6.217894 
7	 11	 6.259535 
6	 11	 6.281905 
4	 12	 6.291940 
3	 12	 6.334296 
2	 12	 6.365494 
4	 11	 6.393874 
3	 11	 6.490551 
1	 12	 6.564076 
3	 11	 6.630059 
5	 10	 6.679520 
3	 11	 6.679787 
5	 10	 6.716592 
4	 10	 6.777776 
2	 11	 6.817429 
4	 10	 6.849653 
6	 9	 6.881688 
4	 10	 6.898199 
2	 11	 6.911824 
1	 11	 6.934196 
3	 10	 6.937804 
5	 9	 6.946595 
4	 9	 6.960658 
6	 8	 6.989578 
8	 7	 7.017112 
6	 8	 7.033024 
4	 9	 7.061629 
6	 8	 7.067574 
5	 8	 7.113942 
3	 9	 7.126750 
1	 10	 7.198627 
3	 9	 7.567061 
5	 8	 7.569753 
3	 9	 7.610893 
2	 9	 7.647753 
4	 8	 7.689844 
2	 9	 7.797076 
4	 8	 7.799142 
2	 9	 7.851613 
4	 8	 7.914441 
6	 7	 7.966765 
4	 8	 8.025766 
3	 8	 8.027671 
1	 9	 8.126530 
3	 8	 8.143983 
1	 9	 8.183992 
3	 8	 8.189042 
2	 8	 8.210589 
1	 8	 8.217790 
3	 7	 8.286996 
1	 8	 8.301968 
3	 7	 8.326744 
5	 6	 8.376515 
3	 7	 8.399985 
5	 6	 8.499208 
3	 7	 8.562877 
1	 8	 8.600051 
3	 7	 8.615933 
2	 7	 8.769809 
1	 7	 8.825003 
0	 7	 8.857752 
2	 6	 8.868825 
4	 5	 8.945501 
2	 6	 8.967172 
0	 7	 9.036605 
2	 6	 9.094285 
4	 5	 9.274765 
2	 6	 9.275202 
4	 5	 9.409998 
2	 6	 9.494269 
0	 7	 9.613887 
2	 6	 9.658254 
4	 5	 9.739049 
2	 6	 9.809234 
4	 5	 9.854946 
2	 6	 9.901529 
0	 7	 9.944356 
2	 6	 10.562420 
4	 5	 10.579693 
2	 6	 10.627961 
1	 6	 10.660446 
3	 5	 10.764634 
1	 6	 10.816320 
3	 5	 10.968947 
1	 6	 10.979035 
-1	 7	 10.983631 

